venue1,venue2,distance
0.0,4772.0,0.9009386018924495
0.0,7077.0,2.15754686425303
0.0,785.0,1.0977022537109795
0.0,23694.0,1.8964071692120912
0.0,5236.0,1.168277400001093
0.0,6614.0,1.457013296598264
0.0,8474.0,2.0508400078424667
0.0,26310.0,1.2878445919856754
0.0,33737.0,2.0617393757029383
1.0,2538.0,1.808388827161571
1.0,21127.0,1.4325081242524118
1.0,7444.0,2.225426415193511
1.0,14590.0,1.9913647838527493
1.0,20654.0,1.8249759440723055
1.0,2539.0,2.207438027897627
3.0,16400.0,2.4539783877112322
3.0,2646.0,1.5474506798387442
3.0,38188.0,1.4131694476731727
3.0,36945.0,2.1019065103012453
4.0,3564.0,1.9623950683673466
4.0,9655.0,1.1352842590623933
4.0,8414.0,1.9936746047647764
4.0,5528.0,0.28387226579022096
4.0,4565.0,0.4854993188559726
4.0,12.0,2.1854035192873815
4.0,19887.0,2.2651875006913342
4.0,17813.0,2.3769496145246007
4.0,1842.0,0.8780553114394829
4.0,5201.0,2.0143762787168344
4.0,16.0,1.3430353943374276
4.0,27433.0,1.6853076683048658
5.0,831.0,1.1406479320413883
5.0,820.0,1.0153883612154004
5.0,4570.0,1.1204936003291242
5.0,37523.0,1.432580789382397
5.0,22251.0,2.395584128709722
5.0,25303.0,1.4587469905505877
5.0,20738.0,0.3893535249035294
5.0,24297.0,2.1221590954766785
5.0,27528.0,1.7980975510774526
5.0,5287.0,0.9215590920237416
5.0,30865.0,1.3239237193249598
5.0,8647.0,2.4391274497772417
5.0,1016.0,0.9158389450013874
6.0,492.0,0.4882473344787219
6.0,7697.0,1.6030570343354102
6.0,10186.0,1.2118040730052975
6.0,86.0,1.8941639360567943
6.0,20817.0,2.4645456838224575
7.0,35954.0,1.2800232216482124
7.0,26271.0,0.3357464574636036
7.0,36193.0,1.464660119540828
7.0,34821.0,1.4564829504990664
7.0,26505.0,1.894048412216503
7.0,9334.0,2.458387259999217
7.0,24158.0,1.0332165743926627
7.0,2243.0,1.5220096668269045
7.0,1058.0,2.440702783422155
7.0,957.0,2.477318509132511
7.0,3227.0,1.9555913853010425
8.0,2366.0,1.2672201869908064
8.0,33.0,1.8427684990836013
8.0,8811.0,2.0097799965780445
8.0,4771.0,1.7236386763538678
8.0,12420.0,1.306783997926752
10.0,17794.0,1.7255223509631048
10.0,23728.0,1.830379526490104
11.0,5616.0,0.4676022201584453
11.0,29174.0,0.4808648684173963
11.0,23141.0,1.7108074671009514
11.0,2566.0,2.025406055832154
12.0,2022.0,1.3778756199784705
12.0,3564.0,0.41681253813361124
12.0,9655.0,2.0101351549325766
12.0,4.0,2.1854035192873815
12.0,8414.0,2.1489839898734733
12.0,5528.0,2.462081284930573
12.0,4565.0,1.949720794629353
